goos: darwin
goarch: arm64
pkg: github.com/perfectgentlemande/go-semaphore-vs-worker-pool
BenchmarkDeactivateUsers/input_size_1_goroutines_count_10-10         	 1715299	       708.5 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_10-10         	 1683326	       715.6 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_10-10         	 1688637	       713.5 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_10-10         	 1672064	       714.2 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_10-10         	 1677826	       711.9 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_10-10         	 1676052	       716.8 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_10-10         	 1665331	       714.1 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_10-10         	 1662867	       710.4 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_10-10         	 1674016	       710.9 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_1_goroutines_count_10-10         	 1684626	       713.0 ns/op	     552 B/op	       8 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_10-10        	  201358	      5781 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_10-10        	  201663	      5769 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_10-10        	  199581	      5778 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_10-10        	  202174	      5719 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_10-10        	  202291	      5755 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_10-10        	  197396	      5744 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_10-10        	  201454	      5726 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_10-10        	  201940	      5773 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_10-10        	  201637	      5715 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_10_goroutines_count_10-10        	  201201	      5748 ns/op	    2760 B/op	      26 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_10-10       	   25356	     47021 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_10-10       	   25347	     46698 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_10-10       	   24003	     47300 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_10-10       	   25923	     47497 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_10-10       	   24366	     48093 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_10-10       	   24174	     47484 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_10-10       	   25209	     49613 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_10-10       	   23928	     49677 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_10-10       	   23647	     49510 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_100_goroutines_count_10-10       	   25095	     46637 ns/op	   25832 B/op	     206 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_10-10      	    2692	    404919 ns/op	  243379 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_10-10      	    2289	    472304 ns/op	  243370 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_10-10      	    3169	    553192 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_10-10      	    3146	    678231 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_10-10      	    2773	    420661 ns/op	  243370 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_10-10      	    2692	    534790 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_10-10      	    2702	    453651 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_10-10      	    2908	    499873 ns/op	  243373 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_10-10      	    2404	    597618 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_1000_goroutines_count_10-10      	    2242	    492614 ns/op	  243368 B/op	    2006 allocs/op
BenchmarkDeactivateUsers/input_size_10000_goroutines_count_10-10     	     289	   4365060 ns/op	 2420476 B/op	   20037 allocs/op
